,Title,Date_upload,Views,Likes,Month
0,VIT | Bhopal | Features | Infrastructure | Academics | Sports | Culture | 2024,2024-02-22,1143,27.0,Feb
1,"VIT | Bhopal | Journey | Infrastructure | 2017 to 2024 | ""A place to learn, Chance to Grow""",2024-01-30,967,30.0,Jan
2,Unveiling adVITya 2024 - A sneak peek into a thrilling journey | VIT Bhopal | VITBPhotography 🔥🔥🔥,2023-12-18,5434,175.0,Dec
3,"Celebrating Unity, Culture, and Young Talent at VIT Vellore | Speech | Ms. Kadhambari S Viswanathan",2023-10-13,478,9.0,Oct
4,"Celebrating Unity, Culture, and Young Talent | VIT Vellore | Vice President | Mr. Sankar Viswanathan",2023-10-13,446,4.0,Oct
5,"Celebrating Unity, Culture, and Young Talent at VIT Vellore | Chancellor | Dr. G. Viswanathan",2023-10-13,229,3.0,Oct
6,"4th Convocation | VIT Bhopal | After Movie | Once a VITian, Always a VITian | Oct' 2023",2023-10-11,4287,130.0,Oct
7,4th ANNUAL CONVOCATION - VIT BHOPAL,2023-10-08,7992,173.0,Oct
8,4th ANNUAL CONVOCATION - VIT BHOPAL,2023-10-08,0,0.0,Oct
9,Freshers | Induction | Programme | 2023 | VIT | AVP Madam | Speech,2023-08-11,3292,59.0,Aug
10,Freshers | Induction | Programme | 2023 | VIT | VP Sir | Speech,2023-08-11,1663,18.0,Aug
11,"VIT | Bhopal | Harmony Unveiled: A Cinematic Journey through our University Fest ""adVITya 2023""",2023-05-19,9634,209.0,May
12,VIT | Bhopal | M.Tech | Integrated | 4+2 = 5 | Save | One | Year | B.Tech + M.Tech,2023-05-11,1372,19.0,May
13,"VIT | Bhopal | Quick | View | Infrastructure | A Place to Learn, Chance to Grow",2023-05-04,4226,75.0,May
14,Future Ready | VIT | Bhopal | University | Interview | Ms. Kadhambari S. Viswanathan | TIMES | NOW,2023-05-02,47801,253.0,May
15,Dr. G. Viswanathan | Founder | Chancellor | VIT | Vellore | Bhopal | Chennai | AP | Biography,2023-03-23,1591,22.0,Mar
16,Dr.G.Viswanathan | Chancellor | Ms.Kadhambari S Viswanathan | AVP | VIT | Photo Exhibition,2023-03-12,688,8.0,Mar
