,Title,Date_upload,Views,Likes,Month
0,Riviera 2024 - Valedictory,2024-02-26,1238,61,Feb
1,VIT School of Mechanical Engineering (SMEC)| Labs | Facilities | Placements | VITEEE | VITMEE | 2024,2024-02-26,140,6,Feb
2,School of Civil Engineering (SCE) | Facilities | Labs | Placements | Testimonials | VITEEE | VITMEE,2024-02-23,317,14,Feb
3,Riviera Expo 2.0 trailer,2024-02-05,5689,132,Feb
4,Riviera Expo 1.0,2024-01-31,1422,56,Jan
5,75th Republic Day Celebrations,2024-01-30,520,13,Jan
6,Vellore Institute of Technology | VIT | A Place to Learn ; A Chance to grow,2024-01-27,8034,174,Jan
7,VITAA DAY - 2024,2024-01-26,1496,41,Jan
8,Parakram Diwas,2024-01-23,276,13,Jan
9,FUND RAISING - VITAA,2024-01-22,344,6,Jan
10,Mattu Pongal,2024-01-16,1221,62,Jan
11,Sankranti Celebrations at VIT,2024-01-14,898,30,Jan
12,Pongal 2024,2024-01-11,2578,98,Jan
13,International Relations 2023 Rewind Video,2024-01-04,410,10,Jan
14,Countdown to 2024,2023-12-31,851,24,Dec
15,VIT Events 2023,2023-12-30,793,19,Dec
16,Placement Rewind 2023,2023-12-29,753,19,Dec
17,48th All India Sociological Conference 2023 - Inauguration,2023-12-28,2077,62,Dec
18,VIT Ranking & Accreditations - 2023,2023-12-28,370,17,Dec
19,VITEEE 2024 | B. Tech. Admissions | How to apply | VIT Engineering Entrance Examination 2024,2023-12-21,26417,403,Dec
20,Happy Birthday Chancellor Sir,2023-12-08,3936,161,Dec
21,DEMO DAY,2023-12-01,737,22,Dec
22,Roadshow event for Global BioIndia'23 - VITTBI,2023-11-15,668,17,Nov
23,Diwali 2023,2023-11-11,1889,48,Nov
24,MBA 2024,2023-11-08,372,17,Nov
25,MBA 2024 Applications Open | MBA 2 Years Programme | VIT Business School | MBA 2024-25 Admissions,2023-11-02,747674,1046,Nov
26,"VITEEE 2024 Applications Launched | B.Tech 2024-25 Admissions Open | Place to Learn, Chance to grow",2023-11-02,1934,26,Nov
27,"Robots performing Ayudha Puja at VIT, Vellore",2023-10-23,3982,73,Oct
28,Springer Nature India Bus Tour | VIT,2023-10-12,662,13,Oct
29,Happy World Post Day | VIT,2023-10-09,577,16,Oct
30,10th National DNA Day,2023-10-07,1054,26,Oct
31,VIT MBA 2024-25 Applications Open | MBA Admissions | VIT Business School,2023-10-06,764742,86,Oct
32,VITREE 2024 | PhD Admissions Open | VIT,2023-10-03,1339,26,Oct
33,Swachh Bharat,2023-09-30,339,16,Sep
34,TIMES RANKING 2024,2023-09-28,2645,40,Sep
35,Day 3 - graVITas'23,2023-09-26,1170,30,Sep
36,SEEM Awards,2023-09-25,571,30,Sep
37,Day 2 - graVITas'23,2023-09-24,1290,32,Sep
38,RoboWars - graVITas'23,2023-09-24,1184,18,Sep
39,gravitas food fun,2023-09-23,815,21,Sep
40,graVITas Inauguration - 2023,2023-09-22,2711,79,Sep
41,Day 1 Highlights of graVITas'23!,2023-09-22,2079,24,Sep
42,Grand Launch of the Prestigious Techno-Management Fest of the Year - graVITas'23,2023-09-22,70086,1590,Sep
43,VIT MBA 2024-25 Applications Open | MBA Admissions | VIT Business School,2023-09-22,1562,9,Sep
44,Join us for Sow And Seek | graVITas23 |  Tech Fest | Treasure Hunt |  Solai Club,2023-09-21,5193,134,Sep
45,Drone Competition | Cutting Edge Technology | GraVITas23 | TechFest,2023-09-21,618,20,Sep
46,1 day to go for GraVITas'23,2023-09-21,1597,56,Sep
47,Robowars | PremiumEvents | TechFest | graVITas2023 | Unleash Your Genius,2023-09-20,998,15,Sep
48,graVITas’23 | graVITas Expo 2.0 | TechFest,2023-09-19,3206,88,Sep
49,2 days to go | Gravitas 2023 Count down starts |  Register Now,2023-09-17,38577,112,Sep
50,graVITas 2023 - VIT's Annual Techno-management Fest  | Largest Technical Fest | VIT,2023-09-16,83253,2823,Sep
51,MBA 2024 | Admissions | Application Open | Apply Now | VITBS | VIT,2023-09-15,328927,147,Sep
52,VIT Wishes a Happy Engineer's Day,2023-09-15,652,22,Sep
53,"VIT - A Place to Learn, Chance to grow | NIRF, QS World University, Shanghai Rankings",2023-09-15,119767,26,Sep
54,VIT’S ASSOCIATION WITH G20,2023-09-12,578,24,Sep
55,"Associate Director, Admissions, The George Washington University, talks about collaboration of VIT",2023-09-11,812,25,Sep
56,graVITas2023 Expo | Largest Technical Festival | graVITas'23,2023-09-03,2992,72,Sep
57,A Development Dialogue in Campuses of Higher Education Institutions,2023-09-01,2243,54,Sep
58,"Mr. Sanjeev Jain, Global Head, Wipro Ltd., highlighted the 20+ yrs of the remarkable journey of VIT",2023-08-23,583,6,Aug
59,"Students share their wide array of feelings about being part of the ""38th Convocation Ceremony""",2023-08-20,2469,53,Aug
60,38th Convocation Ceremony | Class of 2023 | Testimonial | Graduated,2023-08-20,4156,75,Aug
61,VIT wishes a future as bright as your potential. Congratulations!,2023-08-19,1905,44,Aug
62,38th Annual Convocation,2023-08-18,40574,662,Aug
63,77th IndependenceDay | Freedom of India | Amritkaal | Amrit Mahotsav | JaiHind,2023-08-17,870,15,Aug
64,77th Independence Day Celebration,2023-08-15,4599,142,Aug
65,Last Date to Apply for VIT M.Arch :  18th August 2023 | Only Few Seats Left !,2023-08-14,357009,302,Aug
66,12 - Aug - 2023 Fresher's Induction Programme,2023-08-12,5929,94,Aug
67,11-Aug- 2023 Fresher's Induction Programme,2023-08-11,7566,143,Aug
68,VIT Vellore Under Graduate | Class of 2027 | Fostering diversity,2023-08-11,639,16,Aug
69,10-Aug-2023  Fresher's Induction Programme - 2023,2023-08-10,4166,62,Aug
70,09-Aug-2023  Fresher's Induction Programme - 2023,2023-08-09,3604,61,Aug
71,07-Aug-2023  Freshers Induction Programme - 2023,2023-08-09,3423,60,Aug
72,Vice President Dr. G. V. Selvam was announced for receiving the Doctorate from the Hon. President,2023-08-06,2030,37,Aug
73,VIT wishes a Happy Friendship Day,2023-08-06,911,31,Aug
74,STARS Induction Programme - 2023,2023-08-04,3217,79,Aug
75,Parent Testimonial | BArch | Bachelor of Architecture | Class of 2028,2023-08-04,544,7,Aug
76,VIT wishing the Indian Mens Hockey Team | Hero Asian Championship Trophy,2023-08-02,482,23,Aug
77,VIT wishes World Nature Conservation Day,2023-07-28,560,28,Jul
78,The Reunion of 1995 Batch,2023-07-22,3058,46,Jul
79,Reunion Meetings For the 1998 Batch,2023-07-15,3943,61,Jul
80,Automotive Research Centre | Cutting Edge Technology | Autonomous Ground and Aerial Vehicles,2023-07-14,591,23,Jul
81,Automotive Research Centre | Cutting Edge Technology | Autonomous Car with Advanced Sensors,2023-07-12,943,27,Jul
82,VIT Business School organised two weeks of Simplified Kundalini Yoga,2023-07-09,993,32,Jul
83,Campus Life @ VIT | VIT Vellore | Student Life | Green Campus,2023-06-24,10288,136,Jun
84,VIT wishes everyone a happy Olympic Day,2023-06-23,826,21,Jun
85,VIT wishes everyone a Happy Music Day!,2023-06-21,1674,58,Jun
86,International Day of Yoga | Yoga For Vasudhaiva Kutumbakam | Yoga For Health | Yoga Day 2023,2023-06-21,405,16,Jun
87,West Bengal Foundation Day,2023-06-20,849,19,Jun
88,Rains in Vellore | VIT Vellore Campus | Student life | Green Campus | Life At VIT,2023-06-17,2570,76,Jun
89,Rains in VIT Vellore | Campus Life,2023-06-09,8252,385,Jun
90,Happy World Bicycle Day,2023-06-03,1032,25,Jun
91,Last Date has been extended to apply for VIT B.Arch Programme,2023-06-02,109717,8,Jun
92,Last Date has been Extended to apply for B.Sc. (Hons.) Agriculture 4 Year Programme,2023-06-02,58850,134,Jun
93,"Last Date Extended : June 09,2023 | BSc Hospitality and Hotel Administration 2023 Admissions Open.",2023-06-02,78097,70,Jun
94,Happy Telangana Formation Day,2023-06-02,633,22,Jun
95,STARS DAY 2023,2023-05-27,2540,87,May
96,MSc DataScience Program at VIT | Student Testimonials,2023-05-27,2856,25,May
97,M.Des Programme,2023-05-22,890,14,May
98,MSW 2023 Admissions Open in VIT,2023-05-20,1058,16,May
99,B.Sc. (Hons.) Agriculture  2023-24 Applications Open in VIT,2023-05-19,2203,48,May
100,Sikkim Day | Sikkim Foundation Day | Happy Sikkim State Day,2023-05-16,753,15,May
101,VIT wishes a Happy Mothers Day!,2023-05-14,1771,50,May
102,Young children getting trained by VIT instructors,2023-05-13,807,19,May
103,2023-24 Applications Open for B.Sc. (Hons.) Agriculture 4 Years Programme,2023-05-10,622,18,May
104,Inauguration - International Conference ViTECoN2023,2023-05-05,3372,60,May
105,CBSE board Teachers shared their heartfelt views about VIT,2023-05-05,1287,33,May
106,2023-24 Applications Open for BCA Programme,2023-05-03,4092,76,May
107,International Dance Day,2023-04-29,685,18,Apr
108,VITEEE 2023 | B.Tech Online Counselling Process | Choice Filling | Seat Allotment | Fee Structure,2023-04-28,169353,1712,Apr
109,Robotics lab at the School of Mechanical Engineering | Innovation | Mechanical Engineering,2023-04-24,1185,18,Apr
110,2023-24 Admissions Open for B.Arch 5 Year Programme,2023-04-22,53534,20,Apr
111,"Ms. Maya Sreekumar, VP - HR & Head of Operations, Cognizant, Coimbatore, Speaks about VIT",2023-04-20,1454,24,Apr
112,Demo day for Lean Start-up Management | Start up business | Entrepreneur,2023-04-20,2904,62,Apr
113,Career Counselling sessions organised by our Career Development Centre,2023-04-19,587,15,Apr
114,VITEEE aspirants discussing their VITEEE 2023 Experience,2023-04-19,20078,123,Apr
115,"Hon'ble Justice D. Murugesan, former Chief Justice of Delhi High Court, speaks about VIT",2023-04-19,841,19,Apr
116,VIT wishes you a Happy Tamil New Year,2023-04-13,500,21,Apr
117,VIT signed a strategic MoU with NSE Academy Limited,2023-04-11,1178,20,Apr
118,University Day & Annual Sports Day 2023,2023-04-10,9444,216,Apr
119,Student Testimonial - B.Tech Computer Science and Engineering (Internet of Things),2023-04-05,4765,85,Apr
120,Student Testimonial - B.Tech Computer Science and Engineering (Block Chain Technology),2023-04-05,2035,34,Apr
121,Student Testimonial - B.Tech. Computer Science and Engineering (Information Security),2023-04-04,3018,70,Apr
122,"Design-A-Thon"" on ""Sustainable Solutions and Resilient Infrastructure | School of Civil Engineering",2023-04-04,574,12,Apr
123,B.Tech CSE Student Testimonial | Last Date to Apply for VITEEE : 5th April 2023,2023-04-02,7895,53,Apr
124,VITEEE 2023 | SLOT BOOKING | ONLINE TEST BOOKING SYSTEM (OTBS),2023-04-02,158135,2075,Apr
125,B.Tech Student Testimonial |  Last Date to Apply for VITEEE : 31st March 2023,2023-03-30,1467,34,Mar
126,B. Tech Admission | VITEEE 2023 | Last Date to Apply : March 31 | Apply Now,2023-03-30,350094,29,Mar
127,Department of Control & Automation | School of Electrical Engineering (SELECT),2023-03-29,632,11,Mar
128,Department of Control & Automation | School of Electrical Engineering (SELECT),2023-03-29,948,17,Mar
129,Department of Power Electronics | School of Electrical Engineering (SELECT),2023-03-29,123699,62,Mar
